state,price,name,fuel_type,transmmision,make,model,year,condition,millage,engine_size
Abuja (FCT),5488875,Mercedes-Benz E350 2009 Black,Petrol,Automatic,Mercedes-Benz,E350,2009,Foreign Used,173614,3500
Oyo State,8085000,Mercedes-Benz E250 2010 Black,Petrol,Automatic,Mercedes-Benz,E250,2010,Nigerian Used,68578,1800
Kwara State,8400000,Acura MDX 2016 White,Petrol,Automatic,Acura,MDX,2016,Nigerian Used,101853,3500
Rivers State,10816000,Land Rover Range Rover Evoque 2013 White,Petrol,Automatic,Land Rover,Range Rover Evoque,2013,Nigerian Used,136500,2000
Abuja (FCT),5720000,Mercedes-Benz GL-Class 2008 Black,Petrol,Automatic,Mercedes-Benz,GL-Class,2008,Nigerian Used,176187,4600
Abuja (FCT),4410000,Ford E-150 2003 White,Petrol,Automatic,Ford,E-150,2003,Nigerian Used,259805,4200
Lagos State,7875000,Ford Econoline 2012 White,Petrol,Automatic,Ford,Econoline,2012,Foreign Used,257953,4600
Kaduna State,3744000,Toyota Matrix 2010 Blue,Petrol,Automatic,Toyota,Matrix,2010,Nigerian Used,173288,2000
Lagos State,3150000,Hyundai Sonata 2011 Black,Petrol,Automatic,Hyundai,Sonata,2011,Nigerian Used,202903,2400
Delta State,5775000,Mercedes-Benz C300 2008 Blue,Petrol,Automatic,Mercedes-Benz,C300,2008,Foreign Used,189099,3000
Lagos State,5775000,Nissan Altima 2013 Black,Petrol,Automatic,Nissan,Altima,2013,Foreign Used,147217,2500
Lagos State,7350000,Ford Explorer 2011 Black,Petrol,Automatic,Ford,Explorer,2011,Foreign Used,316386,3500
Abuja (FCT),17472000,Toyota Highlander XLE V6 4x2 (3.5L 6cyl 6A) 2016 Gray,Petrol,Automatic,Toyota,Highlander,2016,Foreign Used,90300,3500
Abuja (FCT),8400000,GAC GS4 2020 Black,Petrol,Automatic,GAC,GS4,2020,Nigerian Used,74401,2300
Oyo State,7280000,Toyota Camry 2012 Green,Petrol,Automatic,Toyota,Camry,2012,Foreign Used,112997,2400
